order_id,order_date,card,coffee_name,total_value_of_order,avg_daily_aov,daily_aov_variance_percent
2025-02-10 14:07:41.358+00_ANON-0000-0000-1163,2025-02-10,ANON-0000-0000-1163,Cocoa,97.48,40.84,138.67
2025-02-10 14:07:41.358+00_ANON-0000-0000-1163,2025-02-10,ANON-0000-0000-1163,Cocoa,97.48,40.84,138.67
2025-02-10 14:07:41.358+00_ANON-0000-0000-1163,2025-02-10,ANON-0000-0000-1163,Americano,97.48,40.84,138.67
2025-02-18 17:08:19.308+00_ANON-0000-0000-1225,2025-02-18,ANON-0000-0000-1225,Americano with Milk,123.44,54.32,127.26
2025-02-18 17:08:19.308+00_ANON-0000-0000-1225,2025-02-18,ANON-0000-0000-1225,Cocoa,123.44,54.32,127.26
2025-02-18 17:08:19.308+00_ANON-0000-0000-1225,2025-02-18,ANON-0000-0000-1225,Espresso,123.44,54.32,127.26
2025-02-18 17:08:19.308+00_ANON-0000-0000-1225,2025-02-18,ANON-0000-0000-1225,Cocoa,123.44,54.32,127.26
2025-03-19 16:40:33.766+00_ANON-0000-0000-1158,2025-03-19,ANON-0000-0000-1158,Cappuccino,71.52,33.1,116.08
2025-03-19 16:40:33.766+00_ANON-0000-0000-1158,2025-03-19,ANON-0000-0000-1158,Cappuccino,71.52,33.1,116.08
2024-09-17 19:12:47.905+00_ANON-0000-0000-0634,2024-09-17,ANON-0000-0000-0634,Americano with Milk,88.660000000000011,41.12,115.59
2024-09-17 19:12:47.905+00_ANON-0000-0000-0634,2024-09-17,ANON-0000-0000-0634,Americano with Milk,88.660000000000011,41.12,115.59
2024-09-17 19:12:47.905+00_ANON-0000-0000-0634,2024-09-17,ANON-0000-0000-0634,Latte,88.660000000000011,41.12,115.59
2024-06-09 12:11:23.640+00_ANON-0000-0000-0276,2024-06-09,ANON-0000-0000-0276,Latte,108.26,50.23,115.53
2024-06-09 12:11:23.640+00_ANON-0000-0000-0276,2024-06-09,ANON-0000-0000-0276,Latte,108.26,50.23,115.53
2024-06-09 12:11:23.640+00_ANON-0000-0000-0276,2024-06-09,ANON-0000-0000-0276,Americano with Milk,108.26,50.23,115.53
2024-09-07 19:35:04.937+00_ANON-0000-0000-0283,2024-09-07,ANON-0000-0000-0283,Latte,98.460000000000008,46.67,110.99
