Month_name,Monthsort,Weekday,Weekdaysort,Time_of_Day,hour_of_day,cash_type,total_orders,total_items_sold,total_revenue,average_order_value,units_per_transaction
sty,1,pon.,1,Morning,8,card,4,4,113.64,28.41,1.0
sty,1,pon.,1,Morning,9,card,1,1,30.86,30.86,1.0
sty,1,pon.,1,Morning,10,card,1,1,30.86,30.86,1.0
sty,1,pon.,1,Morning,11,card,1,1,25.96,25.96,1.0
sty,1,pon.,1,Afternoon,12,card,2,3,139.60000000000002,46.53,1.67
sty,1,pon.,1,Afternoon,13,card,4,4,123.44,30.86,1.0
sty,1,pon.,1,Afternoon,14,card,1,2,143.04,71.52,2.0
sty,1,pon.,1,Afternoon,15,card,1,3,263.04,87.68,3.0
sty,1,pon.,1,Afternoon,16,card,1,1,35.76,35.76,1.0
sty,1,pon.,1,Night,18,card,1,1,35.76,35.76,1.0
sty,1,pon.,1,Night,19,card,3,3,97.47999999999999,32.49,1.0
sty,1,pon.,1,Night,20,card,3,4,199.85999999999996,49.96,1.5
sty,1,pon.,1,Night,21,card,1,1,35.76,35.76,1.0
sty,1,wt.,2,Morning,7,card,1,1,35.76,35.76,1.0
sty,1,wt.,2,Morning,8,card,4,4,128.34,32.09,1.0
sty,1,wt.,2,Morning,9,card,2,2,51.92,25.96,1.0
sty,1,wt.,2,Morning,10,card,1,1,30.86,30.86,1.0
sty,1,wt.,2,Morning,11,card,1,1,30.86,30.86,1.0
sty,1,wt.,2,Afternoon,12,card,2,2,61.72,30.86,1.0
sty,1,wt.,2,Afternoon,13,card,1,1,35.76,35.76,1.0
sty,1,wt.,2,Afternoon,15,card,1,1,25.96,25.96,1.0
sty,1,wt.,2,Afternoon,16,card,2,4,246.88,61.72,2.0
sty,1,wt.,2,Night,17,card,1,1,25.96,25.96,1.0
sty,1,wt.,2,Night,18,card,2,3,178.8,59.6,1.67
sty,1,wt.,2,Night,19,card,2,2,61.72,30.86,1.0
sty,1,wt.,2,Night,20,card,2,2,71.52,35.76,1.0
sty,1,wt.,2,Night,21,card,1,1,35.76,35.76,1.0
sty,1,wt.,2,Night,22,card,1,2,143.04,71.52,2.0
sty,1,śr.,3,Morning,7,card,1,1,30.86,30.86,1.0
sty,1,śr.,3,Morning,9,card,3,3,92.58,30.86,1.0
sty,1,śr.,3,Morning,10,card,1,1,25.96,25.96,1.0
sty,1,śr.,3,Morning,11,card,2,2,47.019999999999996,23.51,1.0
sty,1,śr.,3,Afternoon,13,card,1,1,35.76,35.76,1.0
sty,1,śr.,3,Afternoon,15,card,2,3,178.8,59.6,1.67
sty,1,śr.,3,Afternoon,16,card,2,2,61.72,30.86,1.0
sty,1,śr.,3,Night,17,card,2,2,66.62,33.31,1.0
sty,1,śr.,3,Night,18,card,2,2,71.52,35.76,1.0
sty,1,śr.,3,Night,19,card,4,6,308.6,51.43,1.67
sty,1,śr.,3,Night,20,card,1,1,30.86,30.86,1.0
sty,1,śr.,3,Night,21,card,1,1,35.76,35.76,1.0
sty,1,czw.,4,Morning,8,card,2,2,61.72,30.86,1.0
sty,1,czw.,4,Morning,9,card,5,5,159.2,31.84,1.0
sty,1,czw.,4,Morning,10,card,2,2,61.72,30.86,1.0
sty,1,czw.,4,Morning,11,card,1,1,25.96,25.96,1.0
sty,1,czw.,4,Afternoon,12,card,2,2,61.72,30.86,1.0
sty,1,czw.,4,Afternoon,13,card,2,3,169.0,56.33,1.67
sty,1,czw.,4,Afternoon,14,card,3,4,155.76,38.94,1.5
sty,1,czw.,4,Afternoon,15,card,3,4,185.16,46.29,1.5
sty,1,czw.,4,Afternoon,16,card,3,4,194.96,48.74,1.5
sty,1,czw.,4,Night,17,card,2,2,71.52,35.76,1.0
sty,1,czw.,4,Night,18,card,3,3,92.58,30.86,1.0
sty,1,czw.,4,Night,20,card,1,1,30.86,30.86,1.0
sty,1,czw.,4,Night,21,card,2,3,169.0,56.33,1.67
sty,1,czw.,4,Night,22,card,1,1,35.76,35.76,1.0
sty,1,pt.,5,Morning,7,card,1,1,35.76,35.76,1.0
sty,1,pt.,5,Morning,8,card,4,6,318.4,53.07,1.67
sty,1,pt.,5,Morning,9,card,6,7,297.34,42.48,1.29
sty,1,pt.,5,Morning,10,card,1,1,30.86,30.86,1.0
sty,1,pt.,5,Afternoon,12,card,2,2,71.52,35.76,1.0
sty,1,pt.,5,Afternoon,13,card,1,2,123.44,61.72,2.0
sty,1,pt.,5,Afternoon,14,card,2,3,178.8,59.6,1.67
sty,1,pt.,5,Afternoon,15,card,1,1,35.76,35.76,1.0
sty,1,pt.,5,Afternoon,16,card,2,2,61.72,30.86,1.0
sty,1,pt.,5,Night,17,card,5,5,164.1,32.82,1.0
sty,1,pt.,5,Night,21,card,2,2,71.52,35.76,1.0
sty,1,pt.,5,Night,22,card,7,8,323.29999999999995,40.41,1.25
sty,1,sob.,6,Morning,7,card,1,1,30.86,30.86,1.0
sty,1,sob.,6,Morning,8,card,1,1,25.96,25.96,1.0
sty,1,sob.,6,Morning,9,card,1,1,25.96,25.96,1.0
sty,1,sob.,6,Morning,10,card,2,2,66.62,33.31,1.0
sty,1,sob.,6,Morning,11,card,2,3,169.0,56.33,1.67
sty,1,sob.,6,Afternoon,12,card,1,2,143.04,71.52,2.0
sty,1,sob.,6,Afternoon,13,card,2,2,71.52,35.76,1.0
sty,1,sob.,6,Afternoon,14,card,5,6,261.58000000000004,43.6,1.33
sty,1,sob.,6,Afternoon,15,card,1,1,35.76,35.76,1.0
sty,1,sob.,6,Afternoon,16,card,2,7,835.20000000000016,119.31,3.57
sty,1,sob.,6,Night,17,card,2,3,139.60000000000002,46.53,1.67
sty,1,sob.,6,Night,18,card,2,2,56.82,28.41,1.0
sty,1,sob.,6,Night,22,card,1,1,35.76,35.76,1.0
sty,1,niedz.,7,Morning,9,card,1,1,30.86,30.86,1.0
sty,1,niedz.,7,Morning,10,card,1,1,35.76,35.76,1.0
sty,1,niedz.,7,Morning,11,card,2,3,144.5,48.17,1.67
sty,1,niedz.,7,Afternoon,12,card,1,2,94.04,47.02,2.0
sty,1,niedz.,7,Afternoon,16,card,1,1,35.76,35.76,1.0
sty,1,niedz.,7,Night,20,card,1,1,30.86,30.86,1.0
sty,1,niedz.,7,Night,22,card,1,1,30.86,30.86,1.0
lut,2,pon.,1,Morning,6,card,1,1,35.76,35.76,1.0
