date,datetime,cash_type,card,coffee_name,Time_of_Day,Weekday,Month_name,Weekdaysort,Monthsort,hour_of_day,money,order_id,total_products_in_order,total_value_of_order
2024-07-18,2024-07-18 11:11:23.434000 UTC,card,ANON-0000-0000-0381,Espresso,Morning,czw.,lip,4,7,11,18.12,2024-07-18 11:11:23.434+00_ANON-0000-0000-0381,1,18.12
2024-07-24,2024-07-24 09:54:37.456000 UTC,card,ANON-0000-0000-0402,Espresso,Morning,śr.,lip,3,7,9,18.12,2024-07-24 09:54:37.456+00_ANON-0000-0000-0402,1,18.12
2024-07-24,2024-07-24 14:45:49.766000 UTC,card,ANON-0000-0000-0012,Espresso,Afternoon,śr.,lip,3,7,14,18.12,2024-07-24 14:45:49.766+00_ANON-0000-0000-0012,1,18.12
2024-07-26,2024-07-26 09:20:34.344000 UTC,card,ANON-0000-0000-0059,Espresso,Morning,pt.,lip,5,7,9,18.12,2024-07-26 09:20:34.344+00_ANON-0000-0000-0059,1,18.12
2024-07-27,2024-07-27 12:26:13.159000 UTC,card,ANON-0000-0000-0040,Espresso,Afternoon,sob.,lip,6,7,12,18.12,2024-07-27 12:26:13.159+00_ANON-0000-0000-0040,1,18.12
2024-07-27,2024-07-27 14:28:41.904000 UTC,card,ANON-0000-0000-0225,Espresso,Afternoon,sob.,lip,6,7,14,18.12,2024-07-27 14:28:41.904+00_ANON-0000-0000-0225,1,18.12
2024-07-28,2024-07-28 11:07:25.920000 UTC,card,ANON-0000-0000-0012,Espresso,Morning,niedz.,lip,7,7,11,18.12,2024-07-28 11:07:25.920+00_ANON-0000-0000-0012,1,18.12
2024-07-30,2024-07-30 20:24:19.874000 UTC,card,ANON-0000-0000-0434,Espresso,Night,wt.,lip,2,7,20,18.12,2024-07-30 20:24:19.874+00_ANON-0000-0000-0434,1,18.12
2024-08-07,2024-08-07 13:11:16.155000 UTC,card,ANON-0000-0000-0469,Espresso,Afternoon,śr.,sie,3,8,13,18.12,2024-08-07 13:11:16.155+00_ANON-0000-0000-0469,1,18.12
2024-08-11,2024-08-11 16:28:38.296000 UTC,card,ANON-0000-0000-0485,Espresso,Afternoon,niedz.,sie,7,8,16,18.12,2024-08-11 16:28:38.296+00_ANON-0000-0000-0485,1,18.12
2024-08-14,2024-08-14 11:39:07.882000 UTC,card,ANON-0000-0000-0095,Espresso,Morning,śr.,sie,3,8,11,18.12,2024-08-14 11:39:07.882+00_ANON-0000-0000-0095,1,18.12
2024-08-31,2024-08-31 10:22:26.877000 UTC,card,ANON-0000-0000-0556,Espresso,Morning,sob.,sie,6,8,10,18.12,2024-08-31 10:22:26.877+00_ANON-0000-0000-0556,1,18.12
2024-09-06,2024-09-06 11:23:25.390000 UTC,card,ANON-0000-0000-0095,Espresso,Morning,pt.,wrz,5,9,11,18.12,2024-09-06 11:23:25.390+00_ANON-0000-0000-0095,1,18.12
2024-09-06,2024-09-06 11:24:29.254000 UTC,card,ANON-0000-0000-0467,Espresso,Morning,pt.,wrz,5,9,11,18.12,2024-09-06 11:24:29.254+00_ANON-0000-0000-0467,1,18.12
2024-09-07,2024-09-07 16:20:59.312000 UTC,card,ANON-0000-0000-0012,Espresso,Afternoon,sob.,wrz,6,9,16,18.12,2024-09-07 16:20:59.312+00_ANON-0000-0000-0012,1,18.12
2024-09-09,2024-09-09 12:06:59.657000 UTC,card,ANON-0000-0000-0603,Espresso,Afternoon,pon.,wrz,1,9,12,18.12,2024-09-09 12:06:59.657+00_ANON-0000-0000-0603,1,18.12
2024-09-15,2024-09-15 08:42:40.941000 UTC,card,ANON-0000-0000-0347,Espresso,Morning,niedz.,wrz,7,9,8,18.12,2024-09-15 08:42:40.941+00_ANON-0000-0000-0347,1,18.12
2024-09-26,2024-09-26 10:55:52.407000 UTC,card,ANON-0000-0000-0669,Espresso,Morning,czw.,wrz,4,9,10,18.12,2024-09-26 10:55:52.407+00_ANON-0000-0000-0669,1,18.12
2024-10-06,2024-10-06 16:35:45.625000 UTC,card,ANON-0000-0000-0720,Espresso,Afternoon,niedz.,paź,7,10,16,21.06,2024-10-06 16:35:45.625+00_ANON-0000-0000-0720,1,21.06
2024-10-09,2024-10-09 10:37:56.926000 UTC,card,ANON-0000-0000-0733,Espresso,Morning,śr.,paź,3,10,10,21.06,2024-10-09 10:37:56.926+00_ANON-0000-0000-0733,1,21.06
2024-10-09,2024-10-09 17:49:59.552000 UTC,card,ANON-0000-0000-0736,Espresso,Night,śr.,paź,3,10,17,21.06,2024-10-09 17:49:59.552+00_ANON-0000-0000-0736,1,21.06
2024-10-15,2024-10-15 08:34:17.867000 UTC,card,ANON-0000-0000-0761,Espresso,Morning,wt.,paź,2,10,8,21.06,2024-10-15 08:34:17.867+00_ANON-0000-0000-0761,1,21.06
2024-10-21,2024-10-21 11:27:41.654000 UTC,card,ANON-0000-0000-0274,Espresso,Morning,pon.,paź,1,10,11,21.06,2024-10-21 11:27:41.654+00_ANON-0000-0000-0274,1,21.06
