card,customer_type,R_recency_days_since_last_purchase,F_total_orders,M_lifetime_value,avg_products_per_order_per_customer,avg_order_value_per_customer
ANON-0000-0000-0012,CARD,62,88,6380.0800000000081,1.682170542635659,49.457984496124027
ANON-0000-0000-0141,CARD,50,90,3728.4200000000023,1.3518518518518523,34.5224074074074
ANON-0000-0000-1163,CARD,2,56,3638.9799999999991,1.5974025974025969,47.259480519480505
ANON-0000-0000-0276,CARD,52,59,2837.6599999999985,1.318840579710145,41.125507246376813
ANON-0000-0000-0507,CARD,2,38,2792.7000000000003,1.5490196078431373,54.758823529411764
ANON-0000-0000-0009,CARD,225,61,2776.0400000000013,1.1791044776119404,41.433432835820895
ANON-0000-0000-0040,CARD,94,33,2535.3999999999996,1.68,50.708
ANON-0000-0000-0003,CARD,156,18,1719.78,1.9677419354838703,55.47677419354838
ANON-0000-0000-0097,CARD,88,45,1599.3400000000011,1.0851063829787235,34.028510638297874
ANON-0000-0000-0570,CARD,73,25,1418.6399999999999,1.3333333333333335,47.28799999999999
ANON-0000-0000-1110,CARD,2,28,1165.2799999999995,1.303030303030303,35.311515151515152
ANON-0000-0000-0206,CARD,68,19,1151.6599999999999,1.4347826086956521,50.072173913043478
ANON-0000-0000-0637,CARD,118,10,1084.06,1.8235294117647058,63.768235294117645
ANON-0000-0000-0333,CARD,51,16,1060.0200000000002,1.5454545454545456,48.182727272727277
ANON-0000-0000-1191,CARD,2,26,1037.04,1.0740740740740742,38.408888888888889
ANON-0000-0000-0134,CARD,223,7,903.80000000000041,1.9230769230769229,69.523076923076914
ANON-0000-0000-1170,CARD,2,31,902.24,1.0625,28.195
ANON-0000-0000-0180,CARD,272,7,875.88,2.0,72.99
ANON-0000-0000-1165,CARD,2,18,858.2399999999999,1.2,42.912
ANON-0000-0000-1158,CARD,0,18,858.2399999999999,1.2,42.912
ANON-0000-0000-1152,CARD,1,20,845.94000000000028,1.2608695652173916,36.78
ANON-0000-0000-1034,CARD,58,6,838.12000000000012,2.4545454545454546,76.192727272727268
ANON-0000-0000-1161,CARD,3,19,757.31999999999994,1.0999999999999999,37.866
ANON-0000-0000-0696,CARD,111,18,750.95999999999992,1.1052631578947369,39.524210526315784
ANON-0000-0000-0154,CARD,88,5,736.76,2.0,73.676
ANON-0000-0000-0019,CARD,2,20,719.58,1.0952380952380953,34.265714285714289
ANON-0000-0000-0375,CARD,135,17,708.28000000000009,1.3,35.413999999999994
ANON-0000-0000-0543,CARD,120,9,682.30000000000007,1.8,45.486666666666657
ANON-0000-0000-0004,CARD,170,8,677.94,1.8333333333333333,56.495000000000005
ANON-0000-0000-1198,CARD,17,11,668.60000000000014,1.6666666666666667,44.573333333333338
ANON-0000-0000-0001,CARD,290,17,646.14000000000021,1.0,38.008235294117647
